direccion,Barrio y/o Localidad,Provincia,Batch de geocoding
AGRON DE ANGELIS 3600,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 3900,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 4200,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 4500,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 4800,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 0,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 300,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 600,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 900,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 1200,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 1500,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 1800,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 2100,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 2400,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 2700,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 3000,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 3300,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 3600,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 3900,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 4200,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 4500,BAHIA BLANCA,BUENOS AIRES,0
AGUSTIN ALVAREZ 4800,BAHIA BLANCA,BUENOS AIRES,0
ALBERTI 0,Cabildo,BUENOS AIRES,0
ALBERTI 300,Cabildo,BUENOS AIRES,0
ALBERTI 600,Cabildo,BUENOS AIRES,0
ALBERTI 900,Cabildo,BUENOS AIRES,0
ALBERTI 1200,Cabildo,BUENOS AIRES,0
